video,lang,link,time_start,time_end,slo,eng
Bojan Cvjetićanin & 'Kaj pa Ester' crew interviews from POP IN,SLO,https://youtu.be/gsBXR8zfsWc,"00:00:36,890","00:00:40,243","Spremljamo študentko Ester, ki se znajde na čuvstvenem vrtiljaku,","We follow the story of a student, Ester, who finds herself on an emotional rollercoaster,"
Bojan Cvjetićanin & 'Kaj pa Ester' crew interviews from POP IN,SLO,https://youtu.be/gsBXR8zfsWc,"00:00:40,361","00:00:45,213","za njeno srce se namreč borita njen bivši fant Kaj in Vanda, simpatična sošolka.","her heart is being fought over by her ex boyfriend, Kaj, and Vanda, a likeable classmate."
Bojan Cvjetićanin & 'Kaj pa Ester' crew interviews from POP IN,SLO,https://youtu.be/gsBXR8zfsWc,"00:00:45,410","00:00:49,245","Kaj čuti Ester, koga bo izbrala in predvsem kaj bodo rekli drugi?","What does Ester feel, who will she choose and, most importantly, what will the others say?"
Bojan Cvjetićanin & 'Kaj pa Ester' crew interviews from POP IN,SLO,https://youtu.be/gsBXR8zfsWc,"00:00:49,270","00:00:53,280","Si ti v srednji šoli imela tudi toliko ljubezenskih zdrah, kot jih vidimo v filmu?","In high school, did you have as many love adventures as we see in the film?"
Bojan Cvjetićanin & 'Kaj pa Ester' crew interviews from POP IN,SLO,https://youtu.be/gsBXR8zfsWc,"00:00:53,730","00:00:56,765","Ne, zdiher ne. Mislim, to, kar je v filmu, je kar noro.","No, not at all. I mean, what's in the movie is pretty crazy."
Bojan Cvjetićanin & 'Kaj pa Ester' crew interviews from POP IN,SLO,https://youtu.be/gsBXR8zfsWc,"00:00:56,790","00:00:58,483",Kako bi te pa opisali sošolci?,How would your classmates describe you?
Bojan Cvjetićanin & 'Kaj pa Ester' crew interviews from POP IN,SLO,https://youtu.be/gsBXR8zfsWc,"00:00:59,990","00:01:04,236","Glasan, ne dela domačih nalog, pa vedno sem se nekaj hecal.","""Loud, doesn't do homework"", and I was always fooling around."
Bojan Cvjetićanin & 'Kaj pa Ester' crew interviews from POP IN,SLO,https://youtu.be/gsBXR8zfsWc,"00:01:04,390","00:01:07,539","Ja, novo punco imam. V bistvu tri.","Yes, I have a new girlfriend. Three, actually."
Bojan Cvjetićanin & 'Kaj pa Ester' crew interviews from POP IN,SLO,https://youtu.be/gsBXR8zfsWc,"00:01:11,720","00:01:13,490","Če me sprašuješ, če sem imel tri punce?",Are you asking me if I've ever had three girlfriends?
Bojan Cvjetićanin & 'Kaj pa Ester' crew interviews from POP IN,SLO,https://youtu.be/gsBXR8zfsWc,"00:01:14,326","00:01:14,921",Ne.,No.
Bojan Cvjetićanin & 'Kaj pa Ester' crew interviews from POP IN,SLO,https://youtu.be/gsBXR8zfsWc,"00:01:15,870","00:01:17,730","Imel sem dve, ne naenkrat.","I've had two, not at the same time."
Bojan Cvjetićanin & 'Kaj pa Ester' crew interviews from POP IN,SLO,https://youtu.be/gsBXR8zfsWc,"00:01:18,270","00:01:21,729",Scenarija se je lotil s svojim prijateljem in kakopak je vsebino zanj,"He started the script with a friend of his, and the subject matter comes"
Bojan Cvjetićanin & 'Kaj pa Ester' crew interviews from POP IN,SLO,https://youtu.be/gsBXR8zfsWc,"00:01:21,754","00:01:25,505",črpal iz lastnega življenja in pripetljajev v najstniških letih.,from his own life and incidents in his teenage years.
Bojan Cvjetićanin & 'Kaj pa Ester' crew interviews from POP IN,SLO,https://youtu.be/gsBXR8zfsWc,"00:01:25,538","00:01:30,208","A ni bilo izhodišče, ne, ta srednja šola, bol je bila zgodba postavljena v srednjo šolo,","But high school wasn't the starting point. The story was set in high school,"
Bojan Cvjetićanin & 'Kaj pa Ester' crew interviews from POP IN,SLO,https://youtu.be/gsBXR8zfsWc,"00:01:30,370","00:01:34,770","tako da tudi ni poudarek na tem srednješolskem življenju, kakor na čustvenem življenju.","but the emphasis is not on the high school life, as much as it is on the emotional life."
Bojan Cvjetićanin & 'Kaj pa Ester' crew interviews from POP IN,SLO,https://youtu.be/gsBXR8zfsWc,"00:01:35,373","00:01:38,344","Sori, ker sem se preveč prepričljivo delala, da sva res skupaj.",Sorry if I was too convincing at pretending that we were actually together.
Bojan Cvjetićanin & 'Kaj pa Ester' crew interviews from POP IN,SLO,https://youtu.be/gsBXR8zfsWc,"00:01:38,510","00:01:39,970","Bed je, ker imaš tri punce.",You feel bad because you have three girlfriends?!
Bojan Cvjetićanin & 'Kaj pa Ester' crew interviews from POP IN,SLO,https://youtu.be/gsBXR8zfsWc,"00:01:40,550","00:01:41,310","Ja, bed mi je.","Yes, I feel bad."
Bojan Cvjetićanin & 'Kaj pa Ester' crew interviews from POP IN,SLO,https://youtu.be/gsBXR8zfsWc,"00:01:41,450","00:01:43,530","Fuj, fuj, fuj.","Ew, ew, eeewww."
Bojan Cvjetićanin & 'Kaj pa Ester' crew interviews from POP IN,SLO,https://youtu.be/gsBXR8zfsWc,"00:01:43,890","00:01:46,970","Eden od glavnih igravcev je priljubljeni pevec skupine Joker Out,","One of the main actors is the popular singer of the band Joker Out,"
Bojan Cvjetićanin & 'Kaj pa Ester' crew interviews from POP IN,SLO,https://youtu.be/gsBXR8zfsWc,"00:01:47,070","00:01:48,538",ki navdušuje tudi v tujini.,which is also huge abroad.
Bojan Cvjetićanin & 'Kaj pa Ester' crew interviews from POP IN,SLO,https://youtu.be/gsBXR8zfsWc,"00:01:48,630","00:01:54,329","Zato je na spletu zaokrožila peticija, s katero pozivajo, da bi film prišel tudi v tuje kinematografe.",That's why a petition asking for the film to be released in foreign cinemas has gone viral online.
Bojan Cvjetićanin & 'Kaj pa Ester' crew interviews from POP IN,SLO,https://youtu.be/gsBXR8zfsWc,"00:01:54,550","00:01:56,863","Film je itak na začetku nastal kot serija,","The film was originally made as a series,"
Bojan Cvjetićanin & 'Kaj pa Ester' crew interviews from POP IN,SLO,https://youtu.be/gsBXR8zfsWc,"00:01:57,350","00:02:01,325","tako da je bilo zame ful veliko presenečeni že to, da smo prišli do tega, da je to zdaj film.",so it was a big surprise to me that we got to the point where this is now a film.
Bojan Cvjetićanin & 'Kaj pa Ester' crew interviews from POP IN,SLO,https://youtu.be/gsBXR8zfsWc,"00:02:01,750","00:02:04,418","Potem pa, če bo slučajno to šlo še kam ven, pa ne.","And then if by chance it gets released somewhere else, well..."
Bojan Cvjetićanin & 'Kaj pa Ester' crew interviews from POP IN,SLO,https://youtu.be/gsBXR8zfsWc,"00:02:04,550","00:02:05,645",Ker zanimiv koncept.,Because it's an interesting concept.
Bojan Cvjetićanin & 'Kaj pa Ester' crew interviews from POP IN,SLO,https://youtu.be/gsBXR8zfsWc,"00:02:05,670","00:02:06,722",Kaj imaš ti v glavi?,What's on your mind?
Bojan Cvjetićanin & 'Kaj pa Ester' crew interviews from POP IN,SLO,https://youtu.be/gsBXR8zfsWc,"00:02:06,750","00:02:07,865",Ester!,Ester!
Jutro na planetu - Best fan from Styria,SLO,https://www.youtube.com/watch?v=ikq78KV9Q-k,"00:00:00,550","00:00:05,200","Dobrodošli nazaj. Pa če vprašamo, Taiji po čem pa tebi dišijo jutra?","Welcome back. And if we ask, Taiji, how do mornings smell like?"
Jutro na planetu - Best fan from Styria,SLO,https://www.youtube.com/watch?v=ikq78KV9Q-k,"00:00:07,180","00:00:10,437","Kako to misliš, po tvoji kavici? Mogoče ali kaj drugega?","What do you mean, like coffee? Maybe or something else?"
Jutro na planetu - Best fan from Styria,SLO,https://www.youtube.com/watch?v=ikq78KV9Q-k,"00:00:10,607","00:00:12,213","Ja kave ne piješ, tako da, ne vem.","Well you don't drink coffee, so I don't know."
Jutro na planetu - Best fan from Styria,SLO,https://www.youtube.com/watch?v=ikq78KV9Q-k,"00:00:12,323","00:00:19,665","Ja naši naslednji gostje so že neštetokrat rekli oziroma zapeli, ""Jutro pa tebi mi diši.""","Well our next guests have sung ""Morning smells like you"" an uncountable amount of times."
Jutro na planetu - Best fan from Styria,SLO,https://www.youtube.com/watch?v=ikq78KV9Q-k,"00:00:19,665","00:00:22,556","Joker Out, Bojan in Kris, dobrodošla.","Joker Out, Bojan and Kris, welcome."
Jutro na planetu - Best fan from Styria,SLO,https://www.youtube.com/watch?v=ikq78KV9Q-k,"00:00:22,556","00:00:24,249","Hej, hvala lepa, živjo. - Živjo. - Hvala.","Hey, thank you, hello. - Hello. - Thank you."
Jutro na planetu - Best fan from Styria,SLO,https://www.youtube.com/watch?v=ikq78KV9Q-k,"00:00:24,249","00:00:27,109",Živjo ja po čem pa vama dišijo jutra?,Hello and how do your mornings smell like?
Jutro na planetu - Best fan from Styria,SLO,https://www.youtube.com/watch?v=ikq78KV9Q-k,"00:00:28,330","00:00:28,830",Po Planetu.,"Like ""Planet""*"
Jutro na planetu - Best fan from Styria,SLO,https://www.youtube.com/watch?v=ikq78KV9Q-k,"00:00:29,540","00:00:31,950","Danes da, kaj pa sicer?","Today, yes, but in general?"
Jutro na planetu - Best fan from Styria,SLO,https://www.youtube.com/watch?v=ikq78KV9Q-k,"00:00:32,560","00:00:33,650",Vsako jutro po planetu.,Every morning like a Planet.
Jutro na planetu - Best fan from Styria,SLO,https://www.youtube.com/watch?v=ikq78KV9Q-k,"00:00:35,680","00:00:39,647","Ja ponavadi je kava ena prvih stvari, ja, po kateri jutro diši","Usually, coffee is one of the first things you smell in the morning."
Jutro na planetu - Best fan from Styria,SLO,https://www.youtube.com/watch?v=ikq78KV9Q-k,"00:00:39,647","00:00:44,346","tako dajmo dajmo reči, tebi bi bil neprimeren odgovor verjetno.","let's say that ""you""* would probably be an inappropriate answer."
Jutro na planetu - Best fan from Styria,SLO,https://www.youtube.com/watch?v=ikq78KV9Q-k,"00:00:44,895","00:00:46,895",Bi se kar strinjali.,One would agree.
Jutro na planetu - Best fan from Styria,SLO,https://www.youtube.com/watch?v=ikq78KV9Q-k,"00:00:47,058","00:00:53,317","Ja lahko rečemo, da je za vami res delovno poletje, a ste bili sploh kaj na počitnicah?","We could say that you've had a really busy summer, but have you been on any holidays at all?"
Jutro na planetu - Best fan from Styria,SLO,https://www.youtube.com/watch?v=ikq78KV9Q-k,"00:00:53,317","00:00:57,540","Glede na to, da ste imeli več kot 30 koncertov, pa nov album je izšel.",Keeping in mind that you've played more than 30 concerts and released a new album.
Jutro na planetu - Best fan from Styria,SLO,https://www.youtube.com/watch?v=ikq78KV9Q-k,"00:00:58,397","00:00:59,170",Pa videospot.,And a music video.
Jutro na planetu - Best fan from Styria,SLO,https://www.youtube.com/watch?v=ikq78KV9Q-k,"00:00:59,170","00:01:00,390",Pa videospot.,And a music video.
Jutro na planetu - Best fan from Styria,SLO,https://www.youtube.com/watch?v=ikq78KV9Q-k,"00:01:01,440","00:01:04,640","Na kratko, ne na dolgo tudi ne.","In short, no, in long, no."
Jutro na planetu - Best fan from Styria,SLO,https://www.youtube.com/watch?v=ikq78KV9Q-k,"00:01:04,710","00:01:11,150",Za nas se začnejo 10. Septembra počitnice oziroma dopust. Zdaj si lahko rečemo že dopust.,"For us, holidays they start on September 10th or rather a vacation. Now we can call it a vacation."
Jutro na planetu - Best fan from Styria,SLO,https://www.youtube.com/watch?v=ikq78KV9Q-k,"00:01:11,190","00:01:12,690",Do petka je treba zdržat. - Tako.,We have to endure till Friday. - Yes.
Jutro na planetu - Best fan from Styria,SLO,https://www.youtube.com/watch?v=ikq78KV9Q-k,"00:01:14,350","00:01:15,950","Še par dni, torej.","So, a few more days."
Jutro na planetu - Best fan from Styria,SLO,https://www.youtube.com/watch?v=ikq78KV9Q-k,"00:01:15,950","00:01:16,450",Še par dni.,A few more days.
Jutro na planetu - Best fan from Styria,SLO,https://www.youtube.com/watch?v=ikq78KV9Q-k,"00:01:17,120","00:01:22,470","Ja vidiš, kljub temu, da sta mlada, sta vseeno utrujena. Vsakemu pride to pod kožo verjetno.","Well see, even though you're young, you're still tired. It works the same for everybody."
Jutro na planetu - Best fan from Styria,SLO,https://www.youtube.com/watch?v=ikq78KV9Q-k,"00:01:22,845","00:01:24,339",Sta utrujena,You're tired.
Jutro na planetu - Best fan from Styria,SLO,https://www.youtube.com/watch?v=ikq78KV9Q-k,"00:01:24,782","00:01:26,782",Čisto malo. - Čeprav...,Only a little. - Although...
Jutro na planetu - Best fan from Styria,SLO,https://www.youtube.com/watch?v=ikq78KV9Q-k,"00:01:27,030","00:01:34,797","Ja, ampak treba je povedati zdaj nov album, ki je še izšel, je v bistvu v nekaj dneh vse, kar ste dali na iTunes 10 pesmi.","Yes, but it has to be said, now the new album that's out just yet basically, in a couple of days all the 10 songs you've put on iTunes"
Jutro na planetu - Best fan from Styria,SLO,https://www.youtube.com/watch?v=ikq78KV9Q-k,"00:01:34,797","00:01:39,463",V bistvu je doseglo rekordne gledanost in poslušanost.,basically reached record ratings and listener numbers.
Jutro na planetu - Best fan from Styria,SLO,https://www.youtube.com/watch?v=ikq78KV9Q-k,"00:01:39,463","00:01:43,304","Zdaj bojda, se to še nikoli ni zgodilo, ne, v Sloveniji.","Now, supposedly, it hasn't happened before in Slovenia, right?"
Jutro na planetu - Best fan from Styria,SLO,https://www.youtube.com/watch?v=ikq78KV9Q-k,"00:01:43,304","00:01:47,270","Kako bi lahko komentirali, a ste pričakovali, da se bo to zgodilo?","How would you comment, did you expect this to happen?"
Jutro na planetu - Best fan from Styria,SLO,https://www.youtube.com/watch?v=ikq78KV9Q-k,"00:01:48,150","00:01:52,140","Zdaj kot dejstvo, ne vemo, da se ni zgodilo, ne. Zdi se nam, da se ni zgodilo.","Now for a fact, we didn't know that it didn't happen, right. It seems to us that it didn't happen."
Jutro na planetu - Best fan from Styria,SLO,https://www.youtube.com/watch?v=ikq78KV9Q-k,"00:01:53,210","00:01:57,038","Mogoče ja, pri prejšnjem albumu je bilo mogoče 8 ali pa 9 komadov.","Maybe yes, with the previous album it happened maybe to 8 or 9 tracks."
Jutro na planetu - Best fan from Styria,SLO,https://www.youtube.com/watch?v=ikq78KV9Q-k,"00:01:57,038","00:02:00,202","Zdaj se pa res zgodilo, da je bilo vseh 10 kar naenkrat gor.",Now it really happened to all 10 at once.
Jutro na planetu - Best fan from Styria,SLO,https://www.youtube.com/watch?v=ikq78KV9Q-k,"00:02:00,202","00:02:06,945","Jaz... Sicer smo vsi zelo samozavestno izdali album in smo vedeli, da bo vseeno dobro sprejet.",I... We were all very confident about releasing the album and we knew it would be well received anyway.
Jutro na planetu - Best fan from Styria,SLO,https://www.youtube.com/watch?v=ikq78KV9Q-k,"00:02:06,945","00:02:13,110","Nismo pa vedeli, da bo tako dobro, da bo že naslednji dan vseh 10 naših komadov novih 10 najbolj poslušanih.",What we didn't know was that it would be so good that the very next day all 10 of our songs would be the new top 10 most listened to.
Jutro na planetu - Best fan from Styria,SLO,https://www.youtube.com/watch?v=ikq78KV9Q-k,"00:02:14,260","00:02:19,800","Po čem pa se najbolj bistveno razlikuje, recimo ta, ta nov album ""Demoni"" od prejšnjega.","What is the biggest difference between this new album ""Demoni"" and the previous one?"
Jutro na planetu - Best fan from Styria,SLO,https://www.youtube.com/watch?v=ikq78KV9Q-k,"00:02:19,800","00:02:25,448",Ja ta album je res nastal v 5 mesecih praktično od začetka do konca.,"This album was made in 5 months, practically from start to finish."
Jutro na planetu - Best fan from Styria,SLO,https://www.youtube.com/watch?v=ikq78KV9Q-k,"00:02:25,448","00:02:28,037",Tudi material je bil napisan v tem času,The material was also written during this time.
Jutro na planetu - Best fan from Styria,SLO,https://www.youtube.com/watch?v=ikq78KV9Q-k,"00:02:28,037","00:02:34,667","in se razlikuje v tem, da je bil veliko bolj kreativen, svoboden","and differs as it was way more creative, free,"
Jutro na planetu - Best fan from Styria,SLO,https://www.youtube.com/watch?v=ikq78KV9Q-k,"00:02:34,667","00:02:41,511","in bi rekel, da je tudi resnično produkt nas petih in Žareta pač zraven kot producenta.","and I'd say it was really a product of the five of us and Žare, of course, as our producer."
Jutro na planetu - Best fan from Styria,SLO,https://www.youtube.com/watch?v=ikq78KV9Q-k,"00:02:41,511","00:02:45,560",Medtem ko pač prvi album je res nastajal čez neko daljše obdobje več kot enega leta.,Whereas the first album was really made over a period of more than a year.
Jutro na planetu - Best fan from Styria,SLO,https://www.youtube.com/watch?v=ikq78KV9Q-k,"00:02:45,910","00:02:52,624","In se malo čuti, da se je toliko enih različnih valov v naši glavi spremenilo in nekih vplivov,","And it can be felt a little that so many different waves changed in our heads and some influences,"
Jutro na planetu - Best fan from Styria,SLO,https://www.youtube.com/watch?v=ikq78KV9Q-k,"00:02:52,624","00:02:55,680","da nima toliko ena rdeče niti. No, to je pa res.","that it doesn't have a clear storyline. Well, that is true."
Jutro na planetu - Best fan from Styria,SLO,https://www.youtube.com/watch?v=ikq78KV9Q-k,"00:02:55,910","00:03:00,420","Prvi album je bila veliko bolj zlepljenka kot je tale, ta je veliko bolj celosten.","The first album was more of a collage than this one, this one is more coherent."
Jutro na planetu - Best fan from Styria,SLO,https://www.youtube.com/watch?v=ikq78KV9Q-k,"00:03:01,610","00:03:06,418","Ja v bistvu vse punce se sprašujejo zdaj Bojan, kje je Katrina, ne?","Yes, actually, all the girls are asking themselves now, Bojan, where is Katrina?"
Jutro na planetu - Best fan from Styria,SLO,https://www.youtube.com/watch?v=ikq78KV9Q-k,"00:03:06,418","00:03:10,850","Zdaj, katera punca je to, ne. Vem, da so te že novinarji spraševali o tem.","Now, I don't know which girl this is. I know that journalists have already asked you about it."
Jutro na planetu - Best fan from Styria,SLO,https://www.youtube.com/watch?v=ikq78KV9Q-k,"00:03:11,730","00:03:17,120","Pa da si bil zelo skrivnosten, ampak vendarle nam lahko vsaj vizualno opišeš to punco?","And you've been very mysterious, but still, could you at least visually describe her?"
Jutro na planetu - Best fan from Styria,SLO,https://www.youtube.com/watch?v=ikq78KV9Q-k,"00:03:17,676","00:03:20,950","Iskreno jaz tudi ne vem, kje je zdaj v trenutku tem Katrina.","Honestly, I don't know where Katrina is at the moment either."
Jutro na planetu - Best fan from Styria,SLO,https://www.youtube.com/watch?v=ikq78KV9Q-k,"00:03:22,360","00:03:23,550",Pa me tudi ne zanima toliko.,And I don't really want to know that much.
Jutro na planetu - Best fan from Styria,SLO,https://www.youtube.com/watch?v=ikq78KV9Q-k,"00:03:27,910","00:03:33,488","Ma ne, ne bom je vizualno opisoval zaradi tega, ker se mi zdi, da lahko s tem porušim imaginacijo poslušalcem.","But no, I won't describe her visually because I think that will ruin the listeners' imagination."
Jutro na planetu - Best fan from Styria,SLO,https://www.youtube.com/watch?v=ikq78KV9Q-k,"00:03:33,488","00:03:35,280","Vsak ima svojo Katrino, naj tako ostane.","Everyone has their own Katrina, let's keep it at that."
Jutro na planetu - Best fan from Styria,SLO,https://www.youtube.com/watch?v=ikq78KV9Q-k,"00:03:36,460","00:03:39,275","Ja moram povedati, ne, da zanimivo je tudi,","I have to say, right, that it's interesting"
Jutro na planetu - Best fan from Styria,SLO,https://www.youtube.com/watch?v=ikq78KV9Q-k,"00:03:39,275","00:03:44,765","da ste spot za komad naredili v oziroma posneli v pičlih 4 urah, ne.","that you made, or, rather, filmed the video for the song in 4 hours, right?"
Jutro na planetu - Best fan from Styria,SLO,https://www.youtube.com/watch?v=ikq78KV9Q-k,"00:03:44,765","00:03:46,835",Kako vam je to uspelo? - Ja.,How was that possible? - Yes.
Jutro na planetu - Best fan from Styria,SLO,https://www.youtube.com/watch?v=ikq78KV9Q-k,"00:03:47,230","00:03:51,853","Ja to se tako zgodi, da se zaveš, da imaš še manj kot en teden do izida komada","Well, that's what happens when you realise that you have less than a week till the release of the song"
Jutro na planetu - Best fan from Styria,SLO,https://www.youtube.com/watch?v=ikq78KV9Q-k,"00:03:51,853","00:03:56,737","zato, ker si do takrat dejansko do enega tedna prej pilil te komade v studiu",because literally until one week before you were polishing the songs in the studio
Jutro na planetu - Best fan from Styria,SLO,https://www.youtube.com/watch?v=ikq78KV9Q-k,"00:03:56,737","00:03:59,652","in si potem okej, kaj bomo naredili?","and then you're like, what are we gonna do?"
Jutro na planetu - Best fan from Styria,SLO,https://www.youtube.com/watch?v=ikq78KV9Q-k,"00:03:59,652","00:04:05,733","Gremo naredit samo en spot, ki zgleda hudo, ki ti zares nič ne pove v smislu zgodbe",Let's just make a video that looks sick and that really doesn't tell you anything in terms of the story.
Jutro na planetu - Best fan from Styria,SLO,https://www.youtube.com/watch?v=ikq78KV9Q-k,"00:04:05,733","00:04:09,150",sam v smislu našega imidža in energije in tako in ...,but only in terms of our image and energy and so on...
Jutro na planetu - Best fan from Styria,SLO,https://www.youtube.com/watch?v=ikq78KV9Q-k,"00:04:09,810","00:04:13,172",Je pomojem da ful ful dobro ratal in ne vem kako nam je to res v 4 urah...,I think it came out really well and I don't know how we did it in 4 hours...
Jutro na planetu - Best fan from Styria,SLO,https://www.youtube.com/watch?v=ikq78KV9Q-k,"00:04:13,172","00:04:18,313","Imamo srečo, da imamo pač Marka Pirca, ne, ki dela naše videospote že od Gole naprej,","We're lucky to have Mark Pirc, right, who has done all our music videos since 'Gola',"
Jutro na planetu - Best fan from Styria,SLO,https://www.youtube.com/watch?v=ikq78KV9Q-k,"00:04:18,313","00:04:22,832","ki zmore v 4 urah narediti nekaj, na kar smo ponosni,","who can do something we can be proud of in 4 hours,"
Jutro na planetu - Best fan from Styria,SLO,https://www.youtube.com/watch?v=ikq78KV9Q-k,"00:04:22,832","00:04:26,421","ampak dejansko, koncept je bil samo, da se še enkrat predstavimo.",because literally the concept was just for us to introduce ourselves again.
Jutro na planetu - Best fan from Styria,SLO,https://www.youtube.com/watch?v=ikq78KV9Q-k,"00:04:26,421","00:04:31,894","Omamljeno telo je bil prvi singl iz prvega albuma, črno-bel videospot, ki je bil na tak lajfstajl način","Omamljeno telo' was the first single from our first album, a black and white music video, in a lifestyle way"
Jutro na planetu - Best fan from Styria,SLO,https://www.youtube.com/watch?v=ikq78KV9Q-k,"00:04:31,894","00:04:38,330",tako da je v resnici to prvi singl iz drugega albuma in Omamljeno telo številka 2 nekako začetek nove zgodbe.,"so this is actually the first single from the second album, 'Omamljeno telo' nunber 2, somehow the beginning of a new story."
Jutro na planetu - Best fan from Styria,SLO,https://www.youtube.com/watch?v=ikq78KV9Q-k,"00:04:38,721","00:04:39,997","Kdo pa je prišel... - Zakaj... Oprosti, kar daj","Who got the... - Why... Sorry, go ahead"
Jutro na planetu - Best fan from Styria,SLO,https://www.youtube.com/watch?v=ikq78KV9Q-k,"00:04:39,997","00:04:48,426","Kdo pa je prišel na idejo, da proslavite izid komada na tak način, da se potopite v ledeno Kamniško Bistrico?",Who got the idea to celebrate the release of the song with diving into the ice cold Kamniška Bistrica*?
Jutro na planetu - Best fan from Styria,SLO,https://www.youtube.com/watch?v=ikq78KV9Q-k,"00:04:48,426","00:04:56,993",To je v bistvu čisto nepovezano bilo. Naš varnostnik oziroma vodja varnosti benda in pa vsesplošni oče je Niko,Actually it was unrelated. Our security guard or head of security of the band and father of the band is Niko
Jutro na planetu - Best fan from Styria,SLO,https://www.youtube.com/watch?v=ikq78KV9Q-k,"00:04:56,993","00:04:59,906","in nas je že celo poletje vabil, da gremo v Kamniško Bistrico,","and he was inviting us for the whole summer to go to Kamniška Bistrica,"
Jutro na planetu - Best fan from Styria,SLO,https://www.youtube.com/watch?v=ikq78KV9Q-k,"00:04:59,906","00:05:04,058","ker je videl, da imamo tenzije v sebi zaradi vseh koncertov in obveznosti.",because he saw we were having tensions inside us from all the concerts and responsibilities.
Jutro na planetu - Best fan from Styria,SLO,https://www.youtube.com/watch?v=ikq78KV9Q-k,"00:05:04,058","00:05:09,181","In prvič nam je ratalo to šele takrat, avgusta, ja, avgusta, ne?","And the first time we made it was in August, yes, August, no?"
Jutro na planetu - Best fan from Styria,SLO,https://www.youtube.com/watch?v=ikq78KV9Q-k,"00:05:09,181","00:05:11,970","Ko ... glih takrat, ko smo izdajali album...",When... just as we were releasing the album.
Jutro na planetu - Best fan from Styria,SLO,https://www.youtube.com/watch?v=ikq78KV9Q-k,"00:05:12,700","00:05:15,813","Poklopilo se je. - ...videospot, čisto se je poklopilo nekako.","It worked out. - ...music video, it somehow worked out."
Jutro na planetu - Best fan from Styria,SLO,https://www.youtube.com/watch?v=ikq78KV9Q-k,"00:05:16,055","00:05:21,426","In se je potem zgodilo, glih da smo uno uno eno uro. Ko smo izdajali single, smo tudi se potapljali notri.","And then it happened, we were diving in the same hour as the single was being released."
Jutro na planetu - Best fan from Styria,SLO,https://www.youtube.com/watch?v=ikq78KV9Q-k,"00:05:21,426","00:05:28,650",Je bilo kar sproščujoče in smo se lahko potem z veliko bistrejši mislimi spustili v novo obdobje našega ustvarjanja.,It was rather relaxing and it allowed us to step into a new era of creating with a clear mind.
Jutro na planetu - Best fan from Styria,SLO,https://www.youtube.com/watch?v=ikq78KV9Q-k,"00:05:29,416","00:05:30,944","Ja, Kris, tako kot si rekel ne.","Yes, Kris, like you said, yes."
Jutro na planetu - Best fan from Styria,SLO,https://www.youtube.com/watch?v=ikq78KV9Q-k,"00:05:30,944","00:05:34,996","Zelo napeti ste vendarle pritiskajo na vas tudi oboževalke,","You're very tense, in the end of the day the fans are putting pressure on you,"
